Date,Open,High,Low,Close,Volume,gold_close,oil_close,vix,spy_close
2021-02-12,243.9332,245.3,242.73,244.99,16561079.0,1821.5999755859373,59.470001220703125,19.969999313354492,365.52197265625
2021-02-16,245.03,246.13,242.92,243.7,26578487.0,1797.199951171875,60.04999923706055,21.459999084472656,365.2053527832031
2021-02-17,241.32,244.31,240.94,244.2,20685609.0,1771.0999755859375,61.13999938964844,21.5,365.2891540527344
2021-02-18,241.8,243.93,240.86,243.79,16925563.0,1773.4000244140625,60.52000045776367,22.489999771118164,363.7344665527344
2021-02-19,243.75,243.86,240.18,240.97,25262600.0,1775.800048828125,59.2400016784668,22.049999237060547,363.0921630859375
2021-02-22,237.42,237.93,232.4,234.51,36310936.0,1806.699951171875,61.4900016784668,23.450000762939453,360.2994079589844
2021-02-23,230.325,234.83,228.73,233.27,30228704.0,1804.4000244140625,61.66999816894531,23.110000610351562,360.7369079589844
2021-02-24,230.01,235.2,229.0,234.55,26339746.0,1796.4000244140625,63.220001220703125,21.34000015258789,364.7119140625
2021-02-25,232.08,234.5852,227.88,228.99,39437555.0,1774.4000244140625,63.52999877929688,28.889999389648438,355.9239501953125
2021-02-26,231.525,235.37,229.54,232.38,37818227.0,1728.0999755859375,61.5,27.950000762939453,354.09002685546875
2021-03-01,235.9,237.47,233.15,236.94,25332837.0,1722.5,60.63999938964844,23.350000381469727,362.6732177734375
2021-03-02,237.01,237.3,233.45,233.87,22812459.0,1733.0999755859375,59.75,24.100000381469727,359.8431701660156
2021-03-03,232.155,233.5799,227.26,227.56,33944526.0,1715.300048828125,61.27999877929688,26.670000076293945,355.0767822265625
2021-03-04,226.735,232.49,224.26,226.73,44727785.0,1700.199951171875,63.83000183105469,28.56999969482422,350.6828308105469
2021-03-05,229.5165,233.27,226.46,231.6,41865120.0,1698.0,66.08999633789062,24.65999984741211,357.1342468261719
2021-03-08,231.37,233.365,227.13,227.39,35267440.0,1677.699951171875,65.05000305175781,25.469999313354492,355.3561096191406
2021-03-09,232.88,235.3839,231.67,233.78,33080531.0,1716.5999755859375,64.01000213623047,24.030000686645508,360.4297180175781
2021-03-10,237.0,237.0,232.04,232.42,29715812.0,1721.5,64.44000244140625,22.559999465942383,362.6732177734375
2021-03-11,234.96,239.17,234.31,237.13,29907586.0,1722.300048828125,66.0199966430664,21.90999984741211,366.3504333496094
2021-03-12,234.01,235.82,233.23,235.75,22653662.0,1719.5,65.61000061035156,20.690000534057617,366.84381103515625
2021-03-15,234.96,235.185,231.81,234.81,25974669.0,1728.9000244140625,65.38999938964844,20.030000686645508,369.0315246582031
2021-03-16,236.28,240.055,235.94,237.71,28092196.0,1730.5999755859375,64.80000305175781,19.790000915527344,368.5660705566406
2021-03-17,236.15,238.55,233.23,237.04,29562100.0,1726.800048828125,64.5999984741211,19.229999542236328,369.82281494140625
2021-03-18,232.56,234.19,230.33,230.72,34852251.0,1732.199951171875,60.0,21.579999923706055,364.44207763671875
2021-03-19,231.02,232.474,229.3496,230.35,46430730.0,1741.4000244140625,61.41999816894531,20.950000762939453,363.7676696777344
2021-03-22,230.27,236.9,230.14,235.99,30121755.0,1737.800048828125,61.54999923706055,18.8799991607666,366.67236328125
2021-03-23,237.485,241.05,237.07,237.58,31638376.0,1724.699951171875,57.7599983215332,20.299999237060547,363.7863464355469
2021-03-24,237.845,238.0,235.32,235.46,25620127.0,1732.9000244140625,61.18000030517578,21.200000762939453,361.9371032714844
2021-03-25,235.3,236.94,231.57,232.34,34061853.0,1724.9000244140625,58.560001373291016,19.809999465942383,363.9731750488281
2021-03-26,231.55,236.71,231.55,236.48,25470753.0,1732.199951171875,60.970001220703125,18.860000610351562,369.83856201171875
2021-03-29,236.59,236.8,231.88,235.24,25227455.0,1712.0999755859375,61.560001373291016,20.739999771118164,369.65179443359375
